State,last_updated,population,tested__last_updated,total__confirmed,total__deceased,total__recovered,total__tested
AN,2020-09-05T22:09:31+05:30,397000,9/4/2020,3292,50,2904,37825
AP,2020-09-05T20:15:29+05:30,52221000,9/5/2020,487331,4347,382104,4035317
AR,2020-09-06T00:53:37+05:30,1504000,9/5/2020,4914,8,3381,183390
AS,2020-09-05T22:39:27+05:30,34293000,9/5/2020,123923,352,95061,2471274
BR,2020-09-05T18:43:27+05:30,119520000,9/5/2020,145861,750,128376,3871733
CH,2020-09-05T20:15:48+05:30,1179000,9/5/2020,5502,69,3290,34369
CT,2020-09-06T00:28:50+05:30,28724000,9/5/2020,43163,356,20487,653608
DL,2020-09-05T21:31:26+05:30,19814000,9/5/2020,188193,4538,163785,1744466
DN,2020-09-05T19:27:27+05:30,959000,9/3/2020,2531,2,2230,55345
GA,2020-09-05T20:52:33+05:30,1540000,9/5/2020,20455,229,15281,211048
GJ,2020-09-05T20:15:34+05:30,67936000,9/5/2020,103006,3092,83646,2708120
HP,2020-09-05T22:09:29+05:30,7300000,9/5/2020,7018,53,4941,226268
HR,2020-09-05T20:15:37+05:30,28672000,9/5/2020,74272,781,58580,1268518
JH,2020-09-05T23:12:28+05:30,37403000,9/5/2020,49797,462,34330,1080094
JK,2020-09-05T18:43:30+05:30,13203000,9/5/2020,42241,770,31924,1051826
KA,2020-09-05T19:27:22+05:30,65798000,9/5/2020,389232,6298,283298,3273871
KL,2020-09-05T20:15:40+05:30,35125000,9/5/2020,84760,338,62555,1832275
LA,2020-09-05T22:55:34+05:30,293000,9/5/2020,2996,35,2127,31470
MH,2020-09-05T20:52:26+05:30,122153000,9/5/2020,883862,26276,636574,4565368
ML,2020-09-06T00:53:40+05:30,3224000,9/4/2020,2916,15,1527,95457
MN,2020-09-05T20:15:46+05:30,3103000,9/5/2020,6883,36,4975,169093
MP,2020-09-05T20:52:31+05:30,82232000,9/5/2020,71880,1543,54649,1494848
MZ,2020-09-06T09:06:33+05:30,1192000,9/5/2020,1093,,713,44803
NL,2020-09-05T16:14:27+05:30,2150000,9/5/2020,4128,8,3419,64803
OR,2020-09-05T20:52:29+05:30,43671000,9/5/2020,120221,591,93774,2048008
PB,2020-09-05T20:15:43+05:30,29859000,9/5/2020,61527,1808,43849,1168106
PY,2020-09-05T18:43:33+05:30,1504000,9/5/2020,16566,298,11107,83142
RJ,2020-09-06T10:58:31+05:30,77264000,9/5/2020,90089,1130,73382,2443995
SK,2020-09-06T00:53:43+05:30,664000,9/5/2020,1901,5,1347,43125
TG,2020-09-06T09:19:33+05:30,37220000,9/5/2020,140969,886,107530,1667653
TN,2020-09-05T22:06:30+05:30,75695000,9/5/2020,457697,7751,398366,5212534
TR,2020-09-06T10:09:32+05:30,3992000,9/5/2020,15127,144,8745,292269
UP,2020-09-05T16:14:24+05:30,224979000,9/5/2020,259765,3843,195959,6345223
UT,2020-09-05T23:12:30+05:30,11141000,9/5/2020,23961,330,15982,445277
WB,2020-09-05T20:15:32+05:30,96906000,9/5/2020,177701,3510,150801,2112185
